Number;EffectiveEndDate;MainDisciplineLevel1;CallTitle;OutputDataSetId
181775;2020-08-31;Biology and Medicine;Early Postdoc.Mobility 2018 März;1901988F-720B-4065-99A3-44F89F12A5EE
160249;2019-01-31;Humanities and Social Sciences;Projektförderung 2014;NA
182652;2022-10-31;Mathematics, Natural- and Engineering Sciences;Projektförderung 2018 April Abt. 2;FD4DFA57-FEBF-4BFC-A609-8BC76A3F5EAC
182652;2022-10-31;Mathematics, Natural- and Engineering Sciences;Projektförderung 2018 April Abt. 2;D435C2CA-D672-4C63-8521-09B9D33D36EC
182652;2022-10-31;Mathematics, Natural- and Engineering Sciences;Projektförderung 2018 April Abt. 2;5BA1F7B1-8B30-4A0C-8DBC-5E3CF58781C1
182652;2022-10-31;Mathematics, Natural- and Engineering Sciences;Projektförderung 2018 April Abt. 2;4F9185B7-193F-454F-84AD-37CBD50A8FF1
182652;2022-10-31;Mathematics, Natural- and Engineering Sciences;Projektförderung 2018 April Abt. 2;F81D6E55-3633-4242-B888-ADF8F9725D58
182652;2022-10-31;Mathematics, Natural- and Engineering Sciences;Projektförderung 2018 April Abt. 2;F9BD3796-CA93-4FEC-B0F3-AECC6B5DA7AF
179485;2020-12-31;Humanities and Social Sciences;Projektförderung 2017 Oktober Abt. 1;NA
161493;2018-12-31;Biology and Medicine;Ambizione 2015;702BAEBE-D0CF-4315-B211-69DFAC0B3FF4
163716;2020-05-31;Humanities and Social Sciences;SNF-Förderprofessuren Gesuch Stufe 2 2015;NA
176736;2022-03-31;Humanities and Social Sciences;SNF Förderprofessuren Gesuch Stufe 2 2017;NA
170969;2022-01-31;Interdisciplinary;Sinergia 2016;E7DDE6D1-C780-42BB-AB4B-E54C744949CD
169516;2020-06-30;Humanities and Social Sciences;Projektförderung 2016 April Abt. 1;NA
170225;2020-02-29;Mathematics, Natural- and Engineering Sciences;FLAG-ERA JTC 2016;NA
167278;2021-12-31;Mathematics, Natural- and Engineering Sciences;NFP 75: Gesuch;87C09AFF-06B2-483E-A83A-094AC538449F
167278;2021-12-31;Mathematics, Natural- and Engineering Sciences;NFP 75: Gesuch;A32CFF36-4369-46D4-990E-190B8286C5AE
199514;2022-01-31;Mathematics, Natural- and Engineering Sciences;Bridge - Proof of Concept 2020 September;NA
156405;2018-01-31;Biology and Medicine;Projektförderung 2014;NA
203049;2022-09-30;Humanities and Social Sciences;Rückkehr CH Postdoc.Mobility 2021 Februar;NA
166323;2019-05-31;Biology and Medicine;Projektförderung 2015;NA
190969;2023-01-31;Biology and Medicine;Projektförderung 2019 Oktober Abt. 3;NA
183915;2020-09-30;Biology and Medicine;Postdoc.Mobility 2018 August;D33B5F5E-A1B1-49EC-A2DA-7DCFB22107BA
183915;2020-09-30;Biology and Medicine;Postdoc.Mobility 2018 August;744DF253-B47F-432C-A515-AB4192884398
163878;2021-08-31;Biology and Medicine;SNF-Förderprofessuren Gesuch Stufe 2 2015;NA
165764;2019-12-31;Humanities and Social Sciences;Projektförderung 2015;NA
187934;2021-07-31;Mathematics, Natural- and Engineering Sciences;Early Postdoc.Mobility 2019 März;NA
162892;2019-05-31;Humanities and Social Sciences;Projektförderung 2015;175F87E6-ABB9-44DB-9E15-0BFA2A234265
149780;2017-12-31;Biology and Medicine;Projektförderung 2013 ;NA
157517;2019-09-30;Biology and Medicine;SNF-Förderprofessuren Gesuch Stufe 2 2014;NA
198906;2023-06-30;Biology and Medicine;SNF-Förderungsprofessuren: Fortsetzgsg. 2020 Juli;40AEE507-28AA-4A84-8B83-4DA3F7C64B1E
198906;2023-06-30;Biology and Medicine;SNF-Förderungsprofessuren: Fortsetzgsg. 2020 Juli;259A61D9-655C-4DCF-8676-9AB062574C5B
179251;2021-03-31;Biology and Medicine;Projektförderung 2017 Oktober Abt. 3;C95B69E0-D319-465C-9F1E-A1749ED6FB30
199918;2023-02-28;Biology and Medicine;Early Postdoc.Mobility 2020 September;NA
189866;2023-06-30;Humanities and Social Sciences;COST 2019;NA
181641;2020-06-30;Biology and Medicine;Doc.Mobility 2018 März;98C6E221-BFAA-478A-9670-610025B6798B
166251;2020-07-31;Mathematics, Natural- and Engineering Sciences;Projektförderung 2015;NA
184509;2019-11-30;Mathematics, Natural- and Engineering Sciences;Doc.Mobility 2018 September;NA
166525;2022-07-31;Mathematics, Natural- and Engineering Sciences;Promotion of Young Scientists in Eastern Europe ;NA
178926;2023-08-31;Mathematics, Natural- and Engineering Sciences;Projektförderung 2017 Oktober Abt. 2;NA
187793;2022-02-28;Biology and Medicine;Early Postdoc.Mobility 2019 März;NA
183721;2020-03-31;Biology and Medicine;SNF-Förderprofessuren Fortsetzungsgesuche 2018 Jun;NA
172860;2021-12-31;Humanities and Social Sciences;Projektförderung 2016 Oktober Abt. 1;NA
194936;2021-12-31;Humanities and Social Sciences;Early Postdoc.Mobility 2020 März;NA
169090;2020-03-31;Mathematics, Natural- and Engineering Sciences;Projektförderung 2016 April Abt. 2;64CDAF1A-267B-44C5-A908-7516CA45B752
169090;2020-03-31;Mathematics, Natural- and Engineering Sciences;Projektförderung 2016 April Abt. 2;91B4F084-46ED-48DC-B5D1-8CF27A71D568
169090;2020-03-31;Mathematics, Natural- and Engineering Sciences;Projektförderung 2016 April Abt. 2;4E0E283D-EB58-4905-9BE4-9FC78F120008
